AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
FT-269846-20,2,New York University,Publishing,New York,NY,10012-1019,USA,10,40.730750,-73.998800,2020-03-01,2020,"Slavery and immigration, an American history (1789-1889)",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-07-01,2020-08-31,"Immigration and slavery are separate subjects but their histories are tightly entangled. Before the Civil War, the federal government played almost no role in immigration. National laws regulating the movement of one kind of people (immigrants) would have affected the movement of others (free black and slaves). The states set their own terms for the admission, exclusion, and expulsion of foreigners, and for the movement of free blacks and enslaved persons. Only after slavery was abolished did the Supreme Court rule unequivocally that immigration was a federal matter. By this time, the Chinese were subject to the kinds of racial practices that had been used against free blacks in the antebellum era. To justify Chinese exclusion, the Supreme Court ruled in 1889 that federal authority over immigration resided in the inherent sovereignty of the nation, rather than any particular part of the Constitution. This doctrine has been the basis of U.S. immigration policy ever since.","Research and writing leading to a book on the interrelationship of immigration standards and slavery in federal policy, constitutional reform, and political action after the Civil War.",U.S. History,0,NULL,1,Kevin Kenny [Project Director],1,U.S. History
FT-269853-20,2,Wellesley College,Four-Year College,Wellesley,MA,02481-8203,USA,4,42.293020,-71.305220,2020-03-01,2020,Women and Freedom in the Works of French Philosopher Gabrielle Suchon (1632-1705),Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-15,2020-08-14,"My project is a book-length analysis of the view of human freedom elaborated by French philosopher Gabrielle Suchon (1632–1703). Largely ignored by historians of philosophy, Suchon is nevertheless one of the first Western thinkers to leave a substantial body of work devoted to developing a metaphysical account of freedom that is tied to women’s social, political and moral lives. Her key philosophical innovation was to argue that freedom for women requires that they choose what she calls “the neutral life,” foreswearing personal and professional relationships. I offer the first systematic treatment of Suchon’s philosophical system, showing how it offers new, feminist perspective on early modern treatments of human freedom. By placing Suchon in the context of feminist thought, I join the larger scholarly tradition, led by feminist historians, of giving women their proper place in intellectual history.","Writing of two chapters of a book on the
metaphysical account of human freedom developed by the French philosopher
Gabrielle Suchon (1632–1703).",History of Philosophy,0,NULL,1,Julie Walsh [Project Director],3,European History; Gender Studies; History of Philosophy
FT-269856-20,2,Northern State University,Four-Year College,Aberdeen,SD,57401-7198,USA,1,45.452510,-98.483600,2020-03-01,2020,"A More Perfect Union: The Political Philosophies of Jefferson, Hamilton, and Lincoln",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-05-15,2020-07-15,"Thomas Jefferson and Alexander Hamilton are rightly depicted as adversaries in the American founding era. Jefferson was the tribune of people and a believer in small government based in the yeoman farmer. Hamilton promoted government support for banking and industry and showed deep skepticism toward democracy.  This project argues that Lincoln serves as a synthesis of Jeffersonian and Hamiltonian ideas. Lincoln's thought marries Jefferson's preference for self-sufficient labor and natural rights to Hamilton's belief in a national economic policy and skepticism of Jeffersonian populism.  Looking at each statesman's views on economics, presidential power, war, the Constitution, natural rights, and populism we see that Lincoln was able to blend ideas of both founders to build better than either intended. As the nature of the founding-era conflicts still inhabit contemporary politics, we can prosper from appreciating Lincoln's fusion of the best of Jeffersonian and Hamiltonian ideas.","Writing a historical study comparing the political philosophies of Thomas Jefferson (president, 1743-1826), Alexander Hamilton (secretary of the treasury, 1757-1804), and Abraham Lincoln (president, 1809-1865).",Political Theory,0,NULL,1,Jon Schaff [Project Director],3,American Government; Political Theory; U.S. History
FT-269862-20,2,North Carolina State University,University,Raleigh,NC,27695-7003,USA,2,35.797690,-78.625260,2020-03-01,2020,"Measurement and Technological Inscription in the Psychology of Emotions, 1850 to the Present",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"This project examines the history of emotions in American psychology through particular technologies used in empirical, laboratory research. It argues that psychological definitions of emotion have long been directly modified by the physical qualities of these laboratory technologies, following how, from 1850 to the present, psychological research on the emotions has confused the biology of an emotion with the physical qualities of tools psychologists use to measure emotion. The implications of this project demonstrate how “emotion” and “affect” have long been linked with how various technologies inscribe physiological signs of the human body, converting the body into data, with implications for contemporary technologies used in digital media--such as machine vision used in social media, surveillance, and security technologies--to identify internal emotions.",Completion of a book on the history of technologies used to measure human emotions.,Media Studies,0,NULL,1,Grant Bollmer [Project Director],2,"History and Philosophy of Science, Technology, and Medicine; Media Studies"
FT-269883-20,2,"Miami University, Oxford",Center For Advanced Study/Research Institute,Oxford,OH,45056-1602,USA,8,39.510460,-84.734190,2020-03-01,2020,Racing the Great White Way: A Counter History of Early 20th-Century Broadway,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-26,2020-08-24,"I seek an NEH Summer Stipend to complete my third book, a monograph that charts a fresh account of one of the most vital moments of U.S. culture. <em> Racing the Great White Way: a Counter History of 20th-Century Broadway </em>shows that during a time when U.S. culture was profoundly segregated, the theatre was a site of interracial collaboration.  Diverse theatre artists were integrating not only theatrical spaces, but also shaping aesthetics and cultural discourse.  The project steers the reader away from the glistening lights of Broadway toward sparse performance spaces in the Village or the basement of the Public Library on 135th Street.  Broadway and its adjacent spaces were not only major producers of theatre but also crucial architects of cultural work during the 1920s and 1930s.  The central claim of the book is that by racing beyond Broadway, we discover not only a rich history of diverse theatrical performances, but also a powerful archive of U.S. culture transitioning to modernity.","Research and writing leading to&nbsp;a book about interracial collaboration in&nbsp;theater in New York City in the 1920s and 1930s, with analysis of performances staged on Broadway, in Harlem, in Greenwich, and in films.",Theater History and Criticism,0,NULL,1,Katie Johnson [Project Director],3,African American History; American Studies; Theater History and Criticism
FT-269886-20,2,"Rutgers University, Camden",University,Camden,NJ,08102-1405,USA,1,39.948080,-75.120460,2020-03-01,2020,"The Arch Street Project: Visualizing the Historical, Archaeological, and Bioanthropological Evidence from the First Baptist Church of Philadelphia’s Burial Ground",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"The “Arch Street Project” is a multidisciplinary, multi-institutional effort centered around the disturbance of the First Baptist Church of Philadelphia’s cemetery, also known as LaGrange Place. The aim of the Arch Street Project is two-fold: 1) to maximize the research potential of this assemblage prior to its reinterment in 2023, and 2) to set a new collaborative model of bioanthropological research through full inclusivity, meaning all disciplines are welcome and able to contribute to and inform data gathering and interpretation. This proposal aims to produce a web-based, interactive archaeological site map depicting each individual burial and all its associated data. The map will allow users to filter and query data, view spatial distributions, and generate graphs and charts. Such a tool will greatly aid in the historical, archaeological, and bioanthropological interpretation of the cemetery and its integration into the larger historical narrative of early Philadelphia.","Development of a digital map to present the
results of salvage excavations of a historic cemetery in Old City, Philadelphia.",Archaeology,0,NULL,1,Kimberlee Moran [Project Director],3,Archaeology; Biological Anthropology; U.S. History
AH-269887-20,1,"National History Day, Inc.",Non-Profit Educational Center,College Park,MD,20742-0001,USA,35,38.992760,-76.947380,2019-12-01,2019,A More Perfect Union: A Semiquincentennial Cooperative Agreement,Cooperative Agreements and Special Projects (Education),Education Programs,450461.00,0.00,450461.00,0.00,450461.00,0.00,2020-01-01,2022-12-31,"With the National Endowment for the Humanities, NHD proposes a three-year cooperative agreement for educational programming that will inspire student learning by engaging students and their teachers with historical scholarship in the pursuit of civic engagement and responsibility. Programs and activities will focus on the 250th anniversary of the American Revolution and the founding of a new nation based on a constitutional democracy. As well, NHD programs and content will examine the ways in which our founding ideals have been applied, struggled over, and met from our founding to yesterday’s headlines. The agreement center on NEH’s new agency-wide initiative, “A More Perfect Union: NEH Special Initiative Advancing Civic Education and Commemorating the Nation’s 250th Anniversary.”","A
three-year cooperative agreement that would extend and expand NEH’s partnership
with National History Day, in response to NEH’s <em>A More Perfect Union</em> initiative.",Unknown,0,NULL,1,Cathy Gorn [Project Director],0,NULL
FT-269888-20,2,University of Tampa,Four-Year College,Tampa,FL,33606-1490,USA,14,27.945320,-82.464510,2020-03-01,2020,The Liberty of Loyalty during the American Revolution: Black Loyalism in the Book of Negroes,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"For Black loyalists during the American
Revolution, loyalty meant liberty. Responding to British Proclamations that
promised freedom in exchange for fealty to the Crown, three thousand Black
loyalists left New York in 1783 to start new lives elsewhere at the end of the
American Revolution. Their long-overlooked stories are preserved in a
little-known text called “The Book of Negroes.” The few historians who have
discussed this book have treated it as little more than a ledger, but I argue
that it is one of the earliest and largest collections of circumatlantic Black
authorship, if we just know how to interpret it. This NEH grant would support
the development of a peer-reviewed article concerning Black loyalist writing as
it is represented in “The Book of Negroes.” Specifically, it would fund
archival research at the National Archives in Kew (UK) to access the British
Headquarters Papers, 1774–1783, a collection that contains “The Book of Negroes”
and its ancillary documents.","Research and writing of an article on “The Book
of Negroes,” a Revolutionary War manuscript that documents Black loyalists to
the British cause held at the British National Archives as part of the British
Headquarters Papers, 1774–1783.",American Literature,0,NULL,1,Kacy Tillman [Project Director],3,African American History; American Literature; Political History
FT-269893-20,2,"Pennsylvania State University, The",Two-Year College,Altoona,PA,16601-3777,USA,13,40.539390,-78.402910,2020-03-01,2020,"Influenza, War, and Religion in Rural Europe, 1918-1920",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-10-01,2020-11-30,"This book project compares the 1918 influenza pandemic’s cultural effects on rural communities in the British isles (Great Britain and Ireland) and Central Europe (Germany and Switzerland) in order to understand popular perceptions of science and religion at the end of Europe’s first total war and the beginning of western medicine’s “golden age.” My transnational and comparative framework helps us understand the pandemic through multiple lenses including (1) wartime solidarities, (2) rurality, (3) religion, and, (4) empire. I hypothesize that: 1) Interpretations of the flu varied between urban/rural contexts and across national/confessional lines. 2) Rural communities placed greater trust in local leaders than in overburdened national authorities. 3) In contrast to modern Europeans’ dependency on a welfare state, rural Europeans in 1918 had fewer expectations that governments were responsible for citizens’ health, which enhanced social stability during the crisis.","Researching a history of the 1918 influenza epidemic in rural Europe, investigating the social, political, and religious factors shaping responses to the medical crisis.",European History,0,NULL,1,John Eicher [Project Director],3,Cultural History; European History; History of Science
FT-269903-20,2,"SUNY Research Foundation, University at Buffalo",University,Amherst,NY,14228-2577,USA,26,43.002660,-78.785500,2020-03-01,2020,"Unforgetting the Korean War: Cultural Representation and Memory, 1950-2017",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"The Korean War is commonly known as the “forgotten war.” Curiously, however, it was first named as such in a US News and World Report in 1951 when the war was still active. While the moniker has come to generally mean that there is scant cultural memory of the Korean War, memory is an ironic pathway to understanding the forgetting which first concurred with the unfolding of the events of war. My current book project, purposefully entitled “Unforgetting the Korean War,” comparatively examines representations of the Korean War in American literature and culture during the 1950s and the post-Cold War era to elucidate the cultural politics of memory on this war. It attempts to locate the cultural politics of the war in the very trope of forgetting by analyzing assemblies of Korean War representations—which are surprisingly numerous, varied, and noteworthy—at two high points of literary and cultural engagement with the war.","Writing of a chapter and related article for a
book examining cultural representations of the Korean War.",American Studies,0,NULL,1,Jeehyun Lim [Project Director],3,American Studies; East Asian Studies; Ethnic Studies
FT-269909-20,2,University of Delaware,University,Newark,DE,19716-0099,USA,1,39.682320,-75.753650,2020-03-01,2020,"Pearls for the Crown: European Courtly Art and the Atlantic Pearl Trade, 1498-1728",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"At times called the “Pearl Age,” the early modern period saw a sharp increase in the number of pearls that were fished, traded, and consumed around the globe. The discovery of rich pearling beds in the Americas, in particular, prompted the emergence in Europe of exquisite artworks featuring pearls and pearl-fishing scenes. Yet, such pieces have often been regarded as innocuous luxury items of interest only to art connoisseurs. ""Pearls for the Crown"" focuses on five under-studied artworks hailing from the Atlantic pearl industry in order to unveil the messages they conveyed within their geo-political contexts. Specifically, it looks at the discourses they articulated about imperial expansion and human mastery over nature, notions of great importance in courtly circles linked to the Spanish Crown. Such notions, moreover, helped legitimize the indiscriminate exploitation of natural and human resources that eventually laid out the foundations for the Anthropocene.",Research and writing for a book on the history and influence of the Atlantic pearl industry on 15th-18th-century European art.,Art History and Criticism,0,NULL,1,Monica Dominguez Torres [Project Director],3,Art History and Criticism; Hispanic American Studies; Renaissance Studies
FT-269921-20,2,University of South Alabama,University,Mobile,AL,36688-3053,USA,1,30.690160,-88.175850,2020-03-01,2020,Beer Cities: How Craft Brewing Remade Urban America,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"This project examines the craft brewing industry's structural, cultural, and political effect on American cities. Since the 1980s, small scale, independently-owned brewing operations have acted as a catalyst for urban revitalization and cultural change. Architects and city planners have begun calling the process of craft breweries acting as beachheads for urban revival “beer urbanism.” This project seeks to historicize this process through an in-depth and comparative examination of the craft brewing industry in various U.S. cities. More than an exploration of craft brewing, this project is about cities, how they change, and for whom. In addition to situating beer urbanism in the context of recent American urban, cultural, and political history, this project also addresses broader questions about capitalism, gentrification, and unequal urban renewal.","Research for a book on the craft brewing
industry’s impact on urban renewal.",U.S. History,0,NULL,1,Timothy Lombardo [Project Director],3,U.S. History; Urban History; Urban Studies
FT-269937-20,2,"University of Texas, San Antonio",Four-Year College,San Antonio,TX,78249-1644,USA,20,29.575800,-98.616520,2020-03-01,2020,"Refuting History Fables: Collective Memories and History among Tejanos, 1930s-1960s",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-07-01,2020-08-31,"This project explores the efforts of scholars to challenge the omissions and negative characterizations of Tejanos in the state’s history and in public school textbooks. By analyzing the scholarship, historical preservation efforts, and activism of Carlos E. Castañeda, Adina Emilia De Zavala, José T. Canales, and María Elena Zamora O’Shea, the book will explore how these intellectuals sought to revise the historical interpretations of Tejanos to prove their loyalty, improve their public image, and advance their education. The state’s Anglo-centric history textbooks, they argued, were biased, and helped justify contemporaneous discrimination (including segregated schools) against Tejanos. The primary sources include Spanish- and English-language correspondence, speeches, organizational documents, newspapers, and essays. The final products will be published articles and a book, which will appeal to students of U.S. history, civil rights, and Mexican American Studies.",Research and writing one chapter of a book on how Tejanos (Texans of Mexican ancestry) worked to include their community in histories of Texas.,Latino History,0,NULL,1,Omar Valerio-Jimenez [Project Director],3,Ethnic Studies; Immigration History; Latino History
FT-269949-20,2,Massachusetts College of Liberal Arts,Four-Year College,North Adams,MA,01247-4100,USA,1,42.693450,-73.103970,2020-03-01,2020,The Balance of Freedom: Abolishing Property Rights in Slaves during and After the Civil War,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"Until the US Civil War, legal recognition of property rights in slaves enabled slaveholders, merchants, and investors to buy and sell slaves on credit and to mortgage slaves. The US government’s wartime decision to abolish slavery without reimbursing slaveowners for the lost value of freed slaves threatened to send this complex system of finance, founded on human property, into chaos. From 1864-1871, southern and federal lawmakers and judges, as well as everyday southerners, argued over who ought to be responsible for the financial burden of emancipation. This project explores the little-known history of white southerners’ defense of their perceived right to own slaves or to be reimbursed for their value. Their debates, ranging from former Confederate states to the US Capital, reveal that immediate, uncompensated emancipation in the US South was not an inevitable outcome of Union victory in the Civil War, and the process of emancipation extended well beyond the abolition of slavery.",Research and writing one chapter of a book interrogating the significance of policies governing property rights in slaves before and after Emancipation.,U.S. History,0,NULL,1,Amanda Kleintop [Project Director],3,Legal History; Political History; U.S. History
FT-269950-20,2,East Carolina University,University,Greenville,NC,27858-5235,USA,3,35.585370,-77.364190,2020-03-01,2020,"The Boswell Club of Chicago, 1942-1972",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-20,2021-08-20,"This scholarly article, which will be finished with the assistance of the NEH Summer Stipend, interprets the eighteenth-century Scottish author James Boswell's second ""career"" in the twentieth-century United States.  Specifically, it will draw on previously unstudied archival documents to trace the history of the Boswell Club of Chicago (1942-1972), an organization of ordinary, non-scholarly readers dedicated to Boswell's life and work, to eighteenth-century literature more generally, and above all to male sociability.  The project aims to enlarge not just our understanding of Boswell's literary significance, but our larger understanding of sociability and gender among the last generations of Americans whose childhood outlooks were shaped entirely by print media.  It will be submitted to a scholarly journal by the end of August, 2020.","The writing of an article about the Boswell Club
of Chicago (active 1942–1972) and the role of this elite society on the
American reception of Scottish writer James Boswell (1740–1795).",British Literature,0,NULL,1,Brian Glover [Project Director],1,British Literature
PB-269956-20,1,"St. John's University, Collegeville",Four-Year College,Collegeville,MN,56321-2000,USA,6,45.579020,-94.389450,2019-12-01,2019,Developing Resources for Description of Manuscripts from Understudied Christian and Islamic Traditions,Cooperative Agreements and Special Projects (P&A),Preservation and Access,1208474.00,200000.00,1208474.00,0.00,1208474.00,0.00,2020-07-01,2023-06-30,"Cataloging digitized previously unknown, inaccessible, and endangered Christian and Islamic manuscripts from the Middle East, Africa, and Europe for online access in vHMML Reading Room, and the creation of vHMML Data, a new database of names (and, resources permitting, titles) related to these manuscript traditions that currently lack LC authorities. vHMML Data will be freely accessible online for use by other projects, and the names will be submitted to VIAF and Wikidata. These resources will help to bring these understudied traditions into scholarly discourse and public understanding.","The creation and enhancement of descriptive metadata for over 53,000 digitized
manuscripts from Europe, Africa, the Middle East and Asia, along with work to expand
recognized cataloging authorities for personal names, titles, and geographic locations
in order to build out the international scholarly infrastructure for research
on the history and culture of the Christian and Islamic world from the medieval
period to the modern era.",Unknown,0,NULL,1,Columba Stewart [Project Director],0,NULL
FT-269994-20,2,Brandeis University,University,Waltham,MA,02453-2700,USA,5,42.366300,-71.254640,2020-03-01,2020,"Alien Invasions and Revolutionary Contagion: : The Aliens Acts, the 1790s, and the Changing Contours of Citizenship",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"An NEH Summer Stipend will make possible two months of archival research in London focused on reconstructing legislation passed in the British Caribbean against aliens between 1793 and 1794. This research is part of my next book project, Alien Invasions and Revolutionary Contagion, which provides the first comparative study of British, Canadian, Caribbean, and American aliens acts passed during the 1790s in response to the movements of individuals fleeing revolutionary France. The book places aliens acts in their broader context and also elucidates how international rivalries and fear of French-inspired radicalism shaped security policies, early immigration law, and citizenship practices throughout the Anglo-Atlantic world. At its broadest level, it documents a critical shift in how “aliens” and ""enemies"" were defined during the Age of Revolution, where political principles, rather than religious affiliation, came to distinguish “insider"" from ""outsider.""","Research for a book on British, Canadian, Caribbean, and American immigration legislation during the 1790s in response to the French Revolution.",British History,0,NULL,1,Hannah Muller [Project Director],3,"British History; History, Other; Immigration History"
FT-270008-20,2,University of Illinois,Publishing,Champaign,IL,61801-3620,USA,13,40.116850,-88.228750,2020-03-01,2020,"Food Power Politics: Race, Civil Rights, and Food Access in the Mississippi Delta",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"Food Power Politics is the first book to analyze the interaction between oppressive and emancipatory practices of food power as exercised in the Mississippi Delta from the civil rights era to today. By documenting this dynamic, my book shifts the way we understand civil rights history and current struggles against food disparities in black communities. It offers a new line of inquiry that uncovers a neglected period of the movement when activists expanded the meaning of civil rights to address food as integral to social and economic conditions. This meaning-making process is used as a model by black communities today that mobilize around the food justice movement. By making these connections, my book shows how current concerns for food disparities in black communities are rooted in the civil rights struggle and how black communities work to create solutions to those disparities locally and nationally.",Research and writing two chapters of a book on food politics in the Mississippi Delta during and after the civil rights movement.,African American Studies,0,NULL,1,Bobby Smith [Project Director],1,African American Studies
AKA-270015-20,1,Newman University,Four-Year College,Wichita,KS,67213-2084,USA,4,37.673110,-97.378510,2020-03-01,2020,Emphasis in Technology and Human Values Program,Humanities Connections Planning Grants,Education Programs,35000.00,0.00,33896.00,0.00,33896.00,0.00,2020-06-01,2021-05-31,"Newman University proposes an NEH Humanities Connections Planning Grant to develop a new Emphasis in Technology and Human Values (ETHV) to address a pressing need in higher education today. Mounting evidence demonstrates that the humanities are no longer seen as vital to a university education. At the same time, the accelerating pace of technological change threatens the values needed to sustain a thriving human community. NU’s Emphasis in Technology and Human Values will address both of these concerns by offering a technology-focused integration of the humanities with some of our most popular programs. Emphasizing interdisciplinary course design, hands-on learning, and civic engagement, the ETHV will provide Newman with an innovative curricular model for introducing humanities-based skills, content, and modes of inquiry into a broad range of disciplines.","The development of a new Emphasis in Technology and
Human Values program integrating humanities study into pre-professional
pathways.","Philosophy, General",0,NULL,2,Cheryl Golden [Project Director]; Jamey Findling [Co Project Director],3,"History, General; Literature, General; Philosophy, General"
FT-270021-20,2,Harvard University,University,Cambridge,MA,02138-3800,USA,5,42.373760,-71.116700,2020-03-01,2020,The Man who Dug the Pyramids: A Biography of American Egyptologist George A. Reisner (1867-1942),Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-01,2020-07-31,"Most archaeological biography projects do not reflect the broad brushstrokes of international relations and global change. But the individual currently under study—George A. Reisner (1867–1942, Harvard AB 1889)—is exceptional in several ways. Not only did Reisner pioneer crucial aspects of modern archaeological method as we understand them today, but he did so on an international stage, as an American expatriate working primarily in Arab countries (Egypt, Sudan) dominated by British political control and a French antiquities service. His story covers nationalism, imperialism, colonialism, the birth of scientific archaeology, the history of Harvard and of the Museum of Fine Arts, Boston, the discovery of ancient art masterpieces and their ultimate museum destinations (under the partage system), and the issues of repatriation and cultural patrimony before they became the “hot topics” they are today. It is time that Reisner’s story, and his impact on the archaeological world, was told.",Research and writing leading to a biography of the influential American Egyptologist George A. Reisner (1867-1942).,Near and Middle Eastern History,0,NULL,1,Peter Der Manuelian [Project Director],1,Near and Middle Eastern History
AKA-270024-20,1,"University of Mississippi, Main Campus",Center For Advanced Study/Research Institute,University,MS,38677-1848,USA,1,34.369110,-89.531800,2020-03-01,2020,Environmental Literacy and Engagement in North Mississippi,Humanities Connections Planning Grants,Education Programs,34891.00,0.00,34891.00,0.00,34891.00,0.00,2020-06-01,2022-05-31,"The proposed project will enhance environmental literacy and engagement in northern Mississippi by accomplishing two major objectives. First, we will replace the two currently required courses for our Environmental Studies minor with an interdisciplinary two-semester sequence, ENVS 101 and 102, which will blend humanities, natural sciences, and social sciences to teach seven major areas of inquiry:1) environmental history, 2) sustainability, 3) biodiversity, 4) environmental justice, 5) food, 6) water, and 7) human-nature connections. Second, we will develop a roster of capstone internships for Environmental Studies minors (ENVS 385) that will allow experiential and service learning opportunities. We intend the internship requirement to serve as a gateway experience out of the minor and into the world beyond the university, giving our students an empowering look at how the application of our curriculum can help build more vibrant ecosystems, communities, and careers.","Planning for the redesign of a minor in
environmental studies.","Interdisciplinary Studies, Other",0,NULL,3,Ann Fisher-Wirth [Project Director]; Jason Hoeksema [Co Project Director]; Laura Johnson [Co Project Director],1,"Interdisciplinary Studies, Other"
AKA-270043-20,1,University of Rochester,University,Rochester,NY,14627-0001,USA,25,43.131820,-77.623910,2020-03-01,2020,The Humanities and the Study of the Future: Creating a Minor in Futures Studies,Humanities Connections Planning Grants,Education Programs,35000.00,0.00,35000.00,0.00,35000.00,0.00,2020-06-01,2022-05-31,"The University of Rochester (UR) seeks NEH support to develop a minor, a cluster (a 3-course sequence), and experiential learning activities in humanistic futures studies. Two critical ideas drive the project: that the ability to think well about the future should be foundational to undergraduate education, and that the texts and habits of mind cultivated by the humanities are invaluable facilitators of futuristic inquiry. Home to the Futures Studies Research Circle and the Rochester College Consortium, a regional confederation of 22 IHEs whereby students may take courses at any member college, the UR program will be a national model for undergraduate futures studies in the humanities. The planning grant will achieve these 5 outcomes: 1) design curriculum and courses; 2) obtain approval of the minor and cluster; 3) identify additional community collaborators for the experiential learning components; 4) recruit additional faculty aligned with the topic; and 5) begin to recruit students.","A
one-year planning grant to create a minor and three-course cluster in future
studies.","Interdisciplinary Studies, Other",0,NULL,1,William Bridges [Project Director],2,"Comparative Literature; Interdisciplinary Studies, Other"
FT-270061-20,2,Bard College at Simon's Rock,Four-Year College,Great Barrington,MA,01230-1978,USA,1,42.211890,-73.388660,2020-03-01,2020,Translation of Das Buch gegen den Tod (The Book Against Death) by Bulgarian Novel Prize-winning Author Elias Canetti (1905-1994),Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-07-01,2020-08-31,"Elias Canetti's <em>Das Buch gegen den Tod </em>(<em>The Book Against Death</em>) collects 47 years of his aphorisms on the meaning, nature, and consequence of death for himself and a wide variety of writers, cultures, and eras, and was first published in German in 2014. Based on the German publication,&nbsp;my translation will be the first in English and will be accompanied by an introduction and notes providing background on historical events, allusions to other writers, and Canetti's life and work. The result will be a volume of ca. 350 pages recording Canetti's most intimate thinking on death and life itself.","Preparation for publication of a translation with introduction and annotations
of <em>Das
Buch gegen den Tod </em>(<em><em>The Book Against Death</em></em>),&nbsp;by the Bulgarian Nobel Prize-winning author Elias
Canetti (1905-1994).",German Literature,0,NULL,1,Peter Filkins [Project Director],1,German Literature
FT-270065-20,2,"Miami University, Oxford",Center For Advanced Study/Research Institute,Oxford,OH,45056-1602,USA,8,39.510460,-84.734190,2020-03-01,2020,Patriarch Tikhon Bellavin and the Orthodox Church in Revolutionary Russia,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-05-20,2020-07-19,"This project will be the first complete biography of Patriarch Tikhon Bellavin (1865-1925), who became head of the Orthodox Church in the midst of the Russian Revolution and played a decisive role in guiding the Church in the face of a militantly hostile atheist regime. Based on extensive new primary sources, it follows his career in the Russian Empire and in North America before 1917, which played a formative role on Tikhon as a leader, as well as his role as head of the church from 1917 onward. Although the Soviet authorities labeled him a counter-revolutionary and repeatedly arrested him, Tikhon sought to defend the Church against the Bolsheviks’ assaults against it while at the same time was open to negotiation in a way that prepared the church for surviving in the hostile environment.","A biography of Patriarch Tikhon Bellavin (1865-1925), head of the Orthodox Church during the Russian Revolution.",Russian History,0,NULL,1,Scott Kenworthy [Project Director],2,History of Religion; Russian History
FT-270094-20,2,Northeastern Illinois University,Four-Year College,Chicago,IL,60625-4699,USA,5,41.981930,-87.716300,2020-03-01,2020,"The History of Gun Control in Chicago, 1968-2010",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2020-06-15,2020-08-15,"My project is an article entitled, “The History of Gun Control in Chicago, 1968-2010.”  Since the assassination of John F. Kennedy, Americans have been locked in a debate over gun control and the meaning of the 2nd Amendment. Perhaps no city occupies as significant a place in that debate as Chicago, which has a history of terrible violence and stringent gun laws. In 2010, the U.S. Supreme Court solidified the city’s crucial place in that debate when it issued a landmark ruling in McDonald v. Chicago, which limited American cities’ power to regulate guns.   There is no academic, historical study of Chicago’s firearm laws. My article addresses this lacuna. [Edited by staff]","Writing an article on the history of gun
control in Chicago from 1968 to 2010 for an academic journal.",U.S. History,0,NULL,1,Joshua Salzmann [Project Director],3,Political History; U.S. History; Urban History
